fold,max_depth,max_features,min_samples_split,min_samples_leaf,bootstrap,f1
2,20.0,sqrt,10,10,True,0.690019669443336
2,20.0,log2,2,1,True,0.6066349021417379
2,20.0,log2,5,1,True,0.580843330624299
2,20.0,log2,10,1,True,0.5608118283817456
2,20.0,log2,2,2,True,0.6083703991474446
2,20.0,log2,5,2,True,0.5725039202902867
2,20.0,log2,10,2,True,0.5567689072693727
2,20.0,log2,2,5,True,0.4958321296418374
2,20.0,log2,5,5,True,0.4958321296418374
2,20.0,log2,10,5,True,0.4958321296418374
2,20.0,log2,2,10,True,0.43399633128277093
2,20.0,log2,5,10,True,0.43399633128277093
2,20.0,log2,10,10,True,0.43399633128277093
2,20.0,0.1,2,1,True,0.7867703848014594
2,20.0,0.1,5,1,True,0.78626368339196
2,20.0,0.1,10,1,True,0.8074982556996246
2,20.0,0.1,2,2,True,0.7791199486016194
2,20.0,0.1,5,2,True,0.7889338256437899
2,20.0,0.1,10,2,True,0.7935429020037235
2,20.0,0.1,2,5,True,0.7618086966619249
2,20.0,0.1,5,5,True,0.7618086966619249
2,20.0,0.1,10,5,True,0.7618086966619249
2,20.0,0.1,2,10,True,0.7131494398893781
2,20.0,0.1,5,10,True,0.7131494398893781
2,20.0,0.1,10,10,True,0.7131494398893781
2,20.0,0.25,2,1,True,0.8360323651151356
2,20.0,0.25,5,1,True,0.8209898591775666
2,20.0,0.25,10,1,True,0.8338361498442165
2,20.0,0.25,2,2,True,0.8084507406328785
2,20.0,0.25,5,2,True,0.8147007635058967
2,20.0,0.25,10,2,True,0.8429410224480968
2,20.0,0.25,2,5,True,0.8087676595731839
2,20.0,0.25,5,5,True,0.8087676595731839
2,20.0,0.25,10,5,True,0.8087676595731839
2,20.0,0.25,2,10,True,0.7512574904883417
2,20.0,0.25,5,10,True,0.7512574904883417
2,20.0,0.25,10,10,True,0.7512574904883417
2,20.0,0.5,2,1,True,0.8343755713147101
2,20.0,0.5,5,1,True,0.8434393355199706
2,20.0,0.5,10,1,True,0.8407372065322795
2,20.0,0.5,2,2,True,0.846340178166362
2,20.0,0.5,5,2,True,0.8386676480149408
2,20.0,0.5,10,2,True,0.840140167249982
2,20.0,0.5,2,5,True,0.8235831593573867
2,20.0,0.5,5,5,True,0.8235831593573867
2,20.0,0.5,10,5,True,0.8235831593573867
2,20.0,0.5,2,10,True,0.7772200753748879
2,20.0,0.5,5,10,True,0.7772200753748879
2,20.0,0.5,10,10,True,0.7772200753748879
2,,sqrt,2,1,True,0.7320075290219838
2,,sqrt,5,1,True,0.7731649515959292
2,,sqrt,10,1,True,0.73786655139253
2,,sqrt,2,2,True,0.7566452801333432
2,,sqrt,5,2,True,0.7483669030895754
2,,sqrt,10,2,True,0.7364088850615774
2,,sqrt,2,5,True,0.7099952310442832
2,,sqrt,5,5,True,0.7099952310442832
2,,sqrt,10,5,True,0.7099952310442832
2,,sqrt,2,10,True,0.690019669443336
2,,sqrt,5,10,True,0.690019669443336
2,,sqrt,10,10,True,0.690019669443336
2,,log2,2,1,True,0.5985166487303994
2,,log2,5,1,True,0.5858356304104892
2,,log2,10,1,True,0.5583435466334112
2,,log2,2,2,True,0.6092497435889404
2,,log2,5,2,True,0.5763442677571634
2,,log2,10,2,True,0.5602968388281793
2,,log2,2,5,True,0.5012381496082942
2,,log2,5,5,True,0.5012381496082942
2,,log2,10,5,True,0.5012381496082942
2,,log2,2,10,True,0.43399633128277093
2,,log2,5,10,True,0.43399633128277093
2,,log2,10,10,True,0.43399633128277093
2,,0.1,2,1,True,0.7952841101691658
2,,0.1,5,1,True,0.7948773681332354
2,,0.1,10,1,True,0.8079949634346635
2,,0.1,2,2,True,0.7681243624699852
2,,0.1,5,2,True,0.7884000374749075
2,,0.1,10,2,True,0.7941222292008367
2,,0.1,2,5,True,0.7629736393363015
2,,0.1,5,5,True,0.7629736393363015
2,,0.1,10,5,True,0.7629736393363015
